venue,runs,hr_L,hr_R,hits_L,hits_R
Coors Field,1.12,1.18,1.18,1.10,1.10
Great American Ball Park,1.07,1.22,1.18,1.02,1.01
Fenway Park,1.05,0.88,0.96,1.04,1.12
Globe Life Field,1.04,1.03,1.02,1.01,1.00
Citizens Bank Park,1.04,1.20,1.08,1.01,0.99
Oriole Park at Camden Yards,1.03,1.00,0.94,1.00,0.99
Camden Yards,1.03,1.00,0.94,1.00,0.99
Chase Field,1.03,1.04,1.02,1.02,1.01
Yankee Stadium,1.03,1.24,1.05,1.01,0.99
Daikin Park,1.01,1.06,1.05,1.00,1.00
Minute Maid Park,1.01,1.06,1.05,1.00,1.00
Wrigley Field,1.01,1.02,1.02,1.02,1.01
American Family Field,1.00,1.10,1.08,1.00,1.00
Kauffman Stadium,1.00,0.93,0.92,1.04,1.04
Truist Park,1.00,1.02,1.00,0.99,1.00
Target Field,1.00,1.04,1.02,1.00,0.99
Progressive Field,0.99,0.97,0.95,1.00,0.99
Rate Field,0.99,1.08,1.05,0.99,0.99
Guaranteed Rate Field,0.99,1.08,1.05,0.99,0.99
Busch Stadium,0.98,0.92,0.92,1.00,1.00
Rogers Centre,0.98,1.02,1.02,0.98,0.99
Angel Stadium,0.98,1.00,0.98,0.99,0.99
PNC Park,0.97,0.82,0.95,1.04,1.01
Sutter Health Park,0.97,1.02,1.00,1.01,1.01
Dodger Stadium,0.97,1.05,1.04,0.96,0.95
Citi Field,0.96,0.98,0.96,0.98,0.97
Nationals Park,0.96,1.00,1.00,0.98,0.98
Comerica Park,0.95,0.90,0.88,1.02,1.01
Tropicana Field,0.95,0.95,0.93,0.97,0.97
George M. Steinbrenner Field,1.00,1.05,1.03,1.00,1.00
Steinbrenner Field,1.00,1.05,1.03,1.00,1.00
loanDepot park,0.93,0.80,0.86,0.98,0.98
T-Mobile Park,0.93,0.90,0.92,0.96,0.97
Petco Park,0.93,0.86,0.90,0.97,0.98
Oracle Park,0.92,0.68,0.90,0.98,1.00
